id,Source,Target,label
760,Elbridge Gerry,James Warren,James Warren
761,John Adams,Mrs. Adams,Mrs. Adams
762,John Hancock, Maryland Convention, Maryland Convention
763,Abraham Clark,Elias Dayton,Elias Dayton
764,Caesar Rodney,Thomas Rodney,Thomas Rodney
765,Thomas McKean,Alexander James Dallas,Alexander James Dallas
766,Thomas McKean,Caesar A. Rodney,Caesar A. Rodney
767,Thomas Jefferson,Samuel Adams Wells,Samuel Adams Wells
768,John Adams,William Plumer,William Plumer
769,John Hancock, New Jersey Convention, New Jersey Convention
770,Elbridge Gerry,James Warren,James Warren
771,John Hancock,William Cooper,William Cooper
772,John Hancock,George Washington,George Washington
773,Thomas Jefferson,Richard Flenry Lee,Richard Flenry Lee
774,John Hancock,Horatio Gates,Horatio Gates
775,Joseph Hewes,Samuel Johnston,Samuel Johnston
776,William Whipple,John Langdon,John Langdon
777,New Hampshire Delegates, President of New Hampshire, President of New Hampshire
778,South Carolina Delegates,John Rutledge,John Rutledge
779,Abraham Clark,Samuel Tucker,Samuel Tucker
780,John Adams,Samuel Chase,Samuel Chase
781,John Hancock,George Washington,George Washington
782,John Hancock,George Washington,George Washington
783,Thomas Stone, Maryland Council of Safety, Maryland Council of Safety
784,John Hancock,George Washington,George Washington
785,Abraham Clark,Elias Dayton,Elias Dayton
786,Samuel Adams,Richard Henry Lee,Richard Henry Lee
787,Josiah Bartlett,John Langdon,John Langdon
788,Robert Treat Paine,Henry Knox,Henry Knox
789,John Alsop, New York Convention, New York Convention
790,John Hancock, Massachusetts Assembly, Massachusetts Assembly
791,Thomas Jefferson,Patrick Henry,Patrick Henry
792,John Hancock, New Jersey Convention, New Jersey Convention
793,John Hancock, New Jersey Convention, New Jersey Convention
794,Samuel Chase,Philip Schuyler,Philip Schuyler
795,Edward Rutledge,Robert R. Livingston,Robert R. Livingston
796,William Ellery,Ezra Stiles,Ezra Stiles
797,James Wilson, Commissioners for Indian Affairs, Commissioners for Indian Affairs
798,Robert Morris,Joseph Reed,Joseph Reed
799,Elbridge Gerry,Samuel Adams,Samuel Adams
800,Elbridge Gerry,John Adams,John Adams
801,Benjamin Franklin,George Washington,George Washington
802,Josiah Bartlett,John Langdon,John Langdon
803,William Whipple,John Langdon,John Langdon
804,Joseph Hewes,Samuel Purviance,Samuel Purviance
805,Thomas Jefferson,Francis Eppes,Francis Eppes
806,Benjamin Rush,Charles Lee,Charles Lee
807,John Hancock,John Rutledge,John Rutledge
808,South Carolina Delegates,John Rutledge,John Rutledge
809,John Hancock,John Bradford,John Bradford
810,John Hancock,George Washington,George Washington
811,Maryland Delegates, Maryland Council of Safety, Maryland Council of Safety
812,John Hancock,Joseph Trumbull,Joseph Trumbull
813,Joseph Hewes,Samuel Johnston,Samuel Johnston
