id,Label,Source,Target,Type,Timestamp
5021,Charles Thomson,Charles Thomson,George Handley,Directed,1787-07-17
5022,Paine Wingate,Paine Wingate,John Pickering,Directed,1787-07-17
5023,Samuel Alleyne Otis,Samuel Alleyne Otis,George Thatcher,Directed,1787-07-17
5024,James Madison,James Madison,George Washington,Directed,1787-07-21
5025,Abraham Clark,Abraham Clark,Thomas Sinnickson,Directed,1787-07-23
5026, Virginia Delegates, Virginia Delegates,Edmund Randolph,Directed,1787-07-25
5027,Paine Wingate,Paine Wingate,John Langdon,Directed,1787-07-26
5028,Hugh Williamson,Hugh Williamson,James Iredell,Directed,1787-07-26
5029,Hugh Williamson,Hugh Williamson,James Iredell,Directed,1787-07-26
5030, North Carolina Delegates, North Carolina Delegates,Samuel Johnston,Directed,1787-07-27
5031, Pennsylvania Delegates, Pennsylvania Delegates,Benjamin Franklin,Directed,1787-07-28
5032,William Irvine,William Irvine,William Alexander,Directed,1787-07-28
5033,Paine Wingate,Paine Wingate,Samuel Lane,Directed,1787-07-29
5034,James Madison,James Madison,Tench Coxe,Directed,1787-07-30
5035,Paine Wingate,Paine Wingate,John Pickering,Directed,1787-07-31
5036,James Madison,James Madison,Edmund Randolph,Directed,1787-08-02
5037,William Bingham,William Bingham,Thomas Willing,Directed,1787-08-07
5038,James Madison,James Madison,Thomas Jefferson,Directed,1787-08-10
5039,Edward Carrington,Edward Carrington,Thomas Jefferson,Directed,1787-08-10
5040,John Brown,John Brown,Thomas Jefferson,Directed,1787-08-10
5041,Henry Lee,Henry Lee,Richard Henry Lee,Directed,1787-08-10
5042, Pennsylvania Delegates, Pennsylvania Delegates,Peter Muhlenberg,Directed,1787-08-11
5043,James Madison,James Madison,Edmund Randolph,Directed,1787-08-11
5044,James Madison,James Madison,George Washington,Directed,1787-08-11
5045,Jeremiah Wadsworth,Jeremiah Wadsworth,Andrew Huntington,Directed,1787-08-12
5046,Charles Thomson,Charles Thomson, Postmaster at Philadelphia,Directed,1787-08-15
5047, South Carolina Delegates, South Carolina Delegates,Thomas Pinckney,Directed,1787-08-16
5048,Paine Wingate,Paine Wingate,Timothy Pickering,Directed,1787-08-18
5049,James Madison,James Madison,James Madison sr.,Directed,1787-08-20
5050,James Madison,James Madison,Thomas Jefferson,Directed,1787-08-23
5051,Hugh Williamson,Hugh Williamson,James Iredell,Directed,1787-08-23
5052,James Madison,James Madison,George Washington,Directed,1787-08-24
5053,Charles Thomson,Charles Thomson,Arthur St. Clair,Directed,1787-09-01
5054,Hugh Williamson,Hugh Williamson,Samuel Johnston,Directed,1787-09-01
