id,source,target,label
55,Arthur St. Clair,Henry Knox,Henry Knox
56,Josiah Harmar,Henry Knox,Henry Knox
57,Arthur St. Clair,Henry Knox,Henry Knox
58,Arthur St. Clair,Board of Treasury,Board of Treasury
59,Josiah Harmar,Henry Knox,Henry Knox
60,Josiah Harmar,Henry Knox,Henry Knox
61,Arthur St. Clair,Henry Knox,Henry Knox
62,General Butler,Arthur St. Clair,Arthur St. Clair
63,Henry Knox,Arthur St. Clair,Arthur St. Clair
64,Arthur St. Clair,Henry Knox,Henry Knox
65,Arthur St. Clair,Henry Knox,Henry Knox
66,General Butler,Arthur St. Clair,Arthur St. Clair
67,Arthur St. Clair,General Butler,General Butler
68,Arthur St. Clair,Henry Knox,Henry Knox
69,Arthur St. Clair,James Gardoqui,James Gardoqui
70,General Butler,Arthur St. Clair,Arthur St. Clair
71,James Gardoqui,Arthur St. Clair,Arthur St. Clair
72,Arthur St. Clair,Judge Parsons and Judge Varnum,Judge Parsons and Judge Varnum
73,Arthur St. Clair,Henry Knox,Henry Knox
74,Josiah Harmar,Henry Knox,Henry Knox
75,Arthur St. Clair,Judge Parsons and Judge Varnum,Judge Parsons and Judge Varnum
76,Arthur St. Clair,Judge Parsons and Judge Varnum,Judge Parsons and Judge Varnum
77,Judge Parsons and Judge Varnum,Arthur St. Clair,Arthur St. Clair
78,Arthur St. Clair,Judge Parsons and Judge Varnum,Judge Parsons and Judge Varnum
79,Arthur St. Clair,Judge Parsons and Judge Varnum,Judge Parsons and Judge Varnum
80,Arthur St. Clair,General Butler,General Butler
81,Arthur St. Clair,Henry Knox,Henry Knox
82,William Knox,Arthur St. Clair,Arthur St. Clair
83,Arthur St. Clair,Governor of Virginia,Governor of Virginia
84,Arthur St. Clair,Henry Knox,Henry Knox
85,Josiah Harmar,Henry Knox,Henry Knox
86,Arthur St. Clair,Henry Knox,Henry Knox
87,Arthur St. Clair,Samuel H. Parsons,Samuel H. Parsons
88,Josiah Harmar,Major Hamtramck,Major Hamtramck
89,Arthur St. Clair,Henry Knox,Henry Knox
90,Arthur St. Clair,Henry Knox,Henry Knox
91,Arthur St. Clair,Judge Varnum,Judge Varnum
92,Arthur St. Clair,Charles Thomson,Charles Thomson
93,Arthur St. Clair,Ebenezer Zane,Ebenezer Zane
94,Arthur St. Clair,Major Wyllys,Major Wyllys
95,Arthur St. Clair,Henry Knox,Henry Knox
96,Henry Knox,Arthur St. Clair,Arthur St. Clair
97,Arthur St. Clair,John Jay,John Jay
98,Isaac B. Dunn,Arthur St. Clair,Arthur St. Clair
99,Arthur St. Clair,Henry Knox,Henry Knox
100,Henry Knox,Arthur St. Clair,Arthur St. Clair
101,Arthur St. Clair,Henry Knox,Henry Knox
102,Arthur St. Clair,George Washington,George Washington
103,R. K. Meade,Arthur St. Clair,Arthur St. Clair
104,George Washington,Governor of Virginia,Governor of Virginia
105,Arthur St. Clair,Henry Knox,Henry Knox
106,Arthur St. Clair,Board of Treasury,Board of Treasury
107,Bartholomew Tardiveau,Arthur St. Clair,Arthur St. Clair
108,James Wilson,Arthur St. Clair,Arthur St. Clair
109,Judge Parsons,Arthur St. Clair,Arthur St. Clair
110,Arthur St. Clair,George Washington,George Washington
111,George Washington,Arthur St. Clair,Arthur St. Clair
112,Paul Jones,Arthur St. Clair,Arthur St. Clair
113,Josiah Harmar,Henry Knox,Henry Knox
114,Arthur St. Clair,Major Hamtramck,Major Hamtramck
115,Arthur St. Clair,Henry Knox,Henry Knox
116,Josiah Harmar,Arthur St. Clair,Arthur St. Clair
117,John Doughty,Major Wyllys,Major Wyllys
118,Major Hamtramck,Arthur St. Clair,Arthur St. Clair
119,Arthur St. Clair,Henry Knox,Henry Knox
120,Arthur St. Clair,Jean Baptiste du Coigne,Jean Baptiste du Coigne
121,William St. Clair,Arthur St. Clair,Arthur St. Clair
122,Arthur St. Clair,Josiah Harmar,Josiah Harmar
123,Arthur St. Clair,Henry Knox,Henry Knox
124,Henry Knox,Arthur St. Clair,Arthur St. Clair
125,P. Gibault,Arthur St. Clair,Arthur St. Clair
126,Henry Knox,Arthur St. Clair,Arthur St. Clair
127,Arthur St. Clair,General Butler,General Butler
128,Chevalier Duportail,Arthur St. Clair,Arthur St. Clair
129,Colonel Gouvion,Arthur St. Clair,Arthur St. Clair
130,Joel Barlow,Arthur St. Clair,Arthur St. Clair
131,Joel Barlow,Arthur St. Clair,Arthur St. Clair
132,Arthur St. Clair,Henry Knox,Henry Knox
133,Henry Knox,Arthur St. Clair,Arthur St. Clair
134,Arthur St. Clair,Attorney-General,Attorney-General
135,Arthur St. Clair,George Washington,George Washington
136,Henry Knox,Arthur St. Clair,Arthur St. Clair
137,Arthur St. Clair,Henry Knox,Henry Knox
138,Arthur St. Clair,Major Murray,Major Murray
139,Judges Symmes and Turner,Arthur St. Clair,Arthur St. Clair
140,Arthur St. Clair,Henry Knox,Henry Knox
141,Arthur St. Clair,Judges,Judges
142,Arthur St. Clair,Henry Knox,Henry Knox
143,Arthur St. Clair,French Inhabitants,French Inhabitants
144,Thomas Fitzsimmons,Arthur St. Clair,Arthur St. Clair
145,Arthur St. Clair,Henry Knox,Henry Knox
146,Major Hamtramck,Arthur St. Clair,Arthur St. Clair
147,George Washington,Arthur St. Clair,Arthur St. Clair
148,Captain de Luziere,Arthur St. Clair,Arthur St. Clair
149,Lieutenant Denny,Josiah Harmar,Josiah Harmar
150,Isaac Craig,Henry Knox,Henry Knox
151,Henry Knox,Arthur St. Clair,Arthur St. Clair
152,George Washington,Colonel Darke,Colonel Darke
153,Arthur St. Clair,Henry Knox,Henry Knox
154,Colonel Sargent,Civil Magistrates and Military Officers at Gallipolis,Civil Magistrates and Military Officers at Gallipolis
155,Arthur St. Clair,Brigadier-General Scott,Brigadier-General Scott
156,Arthur St. Clair,Israel Ludlow,Israel Ludlow
